Aaberg	'o:-%b{rg
ahistoriske	'A:-hI-%stu:-rI-sk@
ahistorisks	'A:-hI-%stu:-rIsks
Ahlbom	'A:l-bUm
Ahlgren	'A:l-%gre:n
Ahlstrøm	'A:l-%str9m
aidsarbeid	'{*Ids-Ar-%b{*Id
aids	'{*Ids
AIDS-smitte	'{*Ids-%smI-t@
Ailin	A*I-'li:n
ainoene	'A*I-nU-@-n@
airbag	'e:r-%bEg
air-conditionenes	'e:r-kOn-%dI-Sn=-@-n@s
air-condition	'e:r-kOn-%dI-Sn=
air-conditionings	'e:r-kOn-dI-Sn=-INs
Aircraft	'e:r-%kr{:ft
airer	"e:-r@r
airs	'e:s`
Aisha	'A*I-SA
ajourfør	A-'S}:r-%f2:r
ajourførts	A-'s`}:r-%f2:t`s`
akademi	A-kA-d@-'mi:
akademikerer	A-kA-'de:-mI-k@-r@r
akademis	A-kA-d@-'mi:s
akademisk	A-kA-'de:-mIsk
Akalla	"A:-kA-lA
a-kamper	'A:-%kAm-p@r
akantusbladers	A-'kAn-tu0s-%blA:-@s`
akantusbladet	A-'kAn-tu0s-%blA:-@
akantusplantas	A-'kAn-tu0s-%plAn-tAs
akantusranken	A-'kAn-tu0s-%rAN-k@n
akasien	A-'kA:-sI-@n
akasienes	A-'kA:-sI-@-n@s
akasiers	A-'kA:-sI-@s`
akebretta	"A:-k@-%brE-tA
akebrettet	"A:-k@-%brE-t@
akeleie	A-k@-"l{*I-@
akeleier	A-k@-"l{*I-@r
åkerbrukerers	'o:-k@r-%br}:-k@-r@s`
åkerbruker	'o:-k@r-%br}:-k@r
åkerbrukers	'o:-k@r-%br}:-k@s`
åkerbruket	'o:-k@r-%br}:-k@
åkerdyllen	'o:-k@r-%dY-ln=
åkerdyllers	'o:-k@r-%dY-l@s`
åkerertas	'o:-k@r-%{-t`As
åkererten	'o:-k@r-%{-t`n`=
åkerert	'o:-k@r-%{t`
åkergull	'o:-k@r-%gu0l
åkerhønas	'o:-k@r-%h2:-nAs
åkerkål	'o:-k@r-%ko:l
åkermyntene	'o:-k@r-%mYn-tn=-@
Åkerøya	"o:-k@r-%9*Y-A
åkerrikser	'o:-k@r-%rIk-s@r
åkersennepen	'o:-k@r-%sE-n@-p@n
åkersenneps	'o:-k@r-%sE-n@ps
Akersgata	'A:-k@s`-%gA:-tA
Akersgt	'A:-k@S-%gA:-tA
åkersneglens	'o:-k@r-%sn{*I-ln=s
aketurers	"A:-k@-%t}:-r@s`
akevittene	A-k@-'vI-tn=-@
akevitterers	A-k@-'vI-t@-r@s`
akilleshæl	A-'kI-l@s-%h{:l
akilleshælene	A-'kI-l@s-%h{:-ln=-@
akilleshæler	A-'kI-l@s-%h{:-l@r
akillessenene	A-'kI-l@-%se:-nn=-@
akkar	"A-kAr
akkendes	"A-k@-n@s
akkenes	'A-k@-n@s
Akkerhaugen	"A-k@r-%hE*u0-g@n
akkete	"A-k@-t@
akklamasjon	A-klA-mA-'Su:n
akklamasjoners	A-klA-mA-'Su:-n@s`
akklimatiser	A-klI-mA-tI-'se:r
akkommodasjons	A-kU-mU-dA-'Su:ns
akkommodere	A-kU-mU-'de:-r@
akkommoderes	A-kU-mU-'de:-r@s
akkompagnatøren	A-kUm-pA-njA-'t2:-n`=
akkompagnatørers	A-kUm-pA-njA-'t2:-r@s`
akkompagnementa	A-kUm-pA-nj@-'mAN-A
akkompagnementenes	A-kUm-pA-nj@-'mAN-@-n@s
akkompagnementet	A-kUm-pA-nj@-'mAN-@
akkord	A-'kOd`
akkordantenes	A-kO-'d`An-tn=-@s
akkordanter	A-kO-'d`An-t@r
akkordanters	A-kO-'d`An-t@s`
akkordarbeida	A-'kOd`-Ar-%b{*I-dA
akkordbetalingers	A-'kOd`-b@-%tA:-lIN-@s`
akkordbetalings	A-'kOd`-b@-%tA:-lINs
akkordboets	A-'kOd`-%bu:-@ts
akkordbus	A-'kOd`-%b}:s
akkorderts	A-kO-'d`e:t`s`
akkordforhandlinga	A-'kOd`-fOr-%hAn-lIN-A
akkordforhandlinger	A-'kOd`-fOr-%hAn-lIN-@r
akkordforhandlingers	A-'kOd`-fOr-%hAn-lIN-@s`
akkordstyra	A-'kOd`-%s`t`y:-rA
akkordstyreren	A-'kOd`-%s`t`y:-r@-n`=
akkordstyrernes	A-'kOd`-%s`t`y:-r@r-n`@s
akkordstyret	A-'kOd`-%s`t`y:-r@
akkordtariffenes	A-'kOd`-t`A-%rI-f@-n@s
akkreditivas	A-kr@-dI-'ti:-vAs
akkreditivene	A-kr@-dI-'ti:-v@-n@
akkreditivets	A-kr@-dI-'ti:-v@ts
akks	'Aks
akkumulasjonen	A-ku0-mu0-lA-'Su:-nn=
akkumulasjonene	A-ku0-mu0-lA-'Su:-nn=-@
akkumulatorbatteri	A-ku0-mu0-'lA:-tUr-bA-t@-%ri:
akkumulatorers	A-ku0-mu0-'lA:-tU-r@s`
akkumulerte	A-ku0-mu0-'le:-t`@
akkumulerts	A-ku0-mu0-'le:t`s`
akkuratesses	A-ku0-rA-"tE-s@s
akkustiske	A-'ku0-stI-sk@
akkvirerer	A-kvI-'re:-r@r
akkvirerts	A-kvI-'re:t`s`
akkvisisjonens	A-kvI-sI-'Su:-nn=s
akkvisitøren	A-kvI-sI-'t2:-n`=
åkrer	"o:-kr@r
akrobater	A-krU-'bA:-t@r
akrobatkunst	A-krU-'bA:t-%ku0nst
akrobatkunstene	A-krU-'bA:t-%ku0n-stn=-@
akrofobiens	A-krU-fU-'bi:-@ns
akromatiske	A-krU-'mA:-tI-sk@
akronyms	A-krO-'ny:ms
akrylfiberne	A-'kry:l-%fi:-b@-n`@
akrylsyren	A-'kry:l-%sy:-n`=
akrylsyrene	A-'kry:l-%sy:-n`=-@
aks	'Aks
aksdannelsers	"Aks-%dA-nl=-s@s`
aksdanningene	"Aks-%dA-nIN-@-n@
akse	"Ak-s@
akselbeina	"Ak-sl=-%b{*I-nA
akselbeinenes	"Ak-sl=-%b{*I-nn=-@s
akselbladas	"Ak-sl=-%blA:-As
akselbredeste	"Ak-sl=-%bre:-@-st@
akselbreits	"Ak-sl=-%br{*Its
akselerasjonsevne	Ak-s@-l@-rA-'Su:ns-%Ev-n@
akselerasjonsevnens	Ak-s@-l@-rA-'Su:ns-%Ev-nn=s
akselerasjonsfeltet	Ak-s@-l@-rA-'Su:ns-%fEl-t@
akselerator	Ak-s@-l@-'rA:-tUr
akselknoppers	"Ak-sl=-%knO-p@s`
akselknupp	"Ak-sl=-%knu0p
akselknuppen	"Ak-sl=-%knu0-p@n
akselkoblinger	"Ak-sl=-%kO-blIN-@r
akselkoblingers	"Ak-sl=-%kO-blIN-@s`
akselkoplingen	"Ak-sl=-%kO-plIN-@n
akselkoplingene	"Ak-sl=-%kO-plIN-@-n@
aksellednings	"Ak-sl=-%le:d-nINs
aksels	"Ak-s@ls
aksemakta	"Ak-s@-%mAk-tA
aksemaktene	"Ak-s@-%mAk-tn=-@
aksenter	Ak-'sAN-@r
aksenters	Ak-'sAN-@s`
aksenttegnene	Ak-'sEnt-%t{*I-nn=-@
aksenttegnet	Ak-'sEnt-%t{*I-n@
aksentuasjoner	Ak-s@n-tu0-A-'Su:-n@r
aksentuerende	Ak-s@n-tu0-'e:-n`=-@
aksentuerer	Ak-s@n-tu0-'e:-r@r
aksentueringas	Ak-s@n-tu0-'e:-rIN-As
akseptantens	Ak-s@p-'tAn-tn=s
akseptene	Ak-'sEp-tn=-@
akseptere	Ak-s@p-'te:-r@
aksepterende	Ak-s@p-'te:-n`=-@
aksepterendes	Ak-s@p-'te:-n`=-@s
aksepteres	Ak-s@p-'te:-r@s
akseptfristen	Ak-'sEpt-%frI-stn=
aksessorias	Ak-s@-'su:-rI-As
aksessoriet	Ak-s@-'su:-rI-@
aksesstiders	Ak-'sEs-%ti:-d@s`
aksesstjenester	Ak-'sEs-%tje:-n@-st@r
aksialfjørens	Ak-sI-'A:l-%fj2:-n`=s
aksialkraftas	Ak-sI-'A:l-%krAf-tAs
aksiallagerets	Ak-sI-'A:l-%lA:-g@-r@ts
aksialt	Ak-sI-'A:lt
aksialts	Ak-sI-'A:lts
aksidensarbeid	Ak-sI-'dEns-Ar-%b{*Id
aksiomets	Ak-sI-'u:-m@ts
aksioms	Ak-sI-'u:ms
aksjeandelen	'Ak-S@-An-%de:-ln=
aksjebrev	'Ak-S@-%bre:v
aksjeeierer	'Ak-S@-%{*I-@-r@r
aksjefonda	'Ak-S@-%fO-nA
aksjegevinster	'Ak-S@-g@-%vIn-st@r
aksjeindeksen	'Ak-S@-In-%dEk-sn=
aksjeinnskudd	'Ak-S@-In-%sku0d
aksjeinvesteringer	'Ak-S@-In-v@-%ste:-rIN-@r
aksjekjøp	'Ak-S@-%C2:p
aksjeklassene	'Ak-S@-%klA-sn=-@
aksjekurs	'Ak-S@-%k}:s`
aksjeleiligheta	'Ak-S@-l{*I-lI-%he:-tA
aksjeleilighetenes	'Ak-S@-l{*I-lI-%he:-tn=-@s
aksjeleiligheter	'Ak-S@-l{*I-lI-%he:-t@r
aksjeloven	'Ak-S@-%lo:-v@n
aksjelovgivning	'Ak-S@-lOv-%ji:v-nIN
aksjemajoriteten	'Ak-S@-mA-jU-rI-%te:-tn=
aksjemarknadene	'Ak-S@-%mAr-knA-dn=-@
aksjemarknader	'Ak-S@-%mAr-knA-d@r
aksjemeglerers	'Ak-s`@-%mE-gl@-r@s`
aksjemekler	'Ak-S@-%mE-kl@r
aksjemekleren	'Ak-S@-%mE-kl@-n`=
aksjenotering	'Ak-S@-nU-%te:-rIN
aksjenoteringenes	'Ak-S@-nU-%te:-rIN-@-n@s
aksjeposten	'Ak-S@-%pO-stn=
aksjes	'Ak-S@s
aksjeselskap	'Ak-S@-s@l-%skA:p
aksjesum	'Ak-S@-%su0m
aksjeutbytta	'Ak-S@-}:t-%bY-tA
aksjonæravtalen	Ak-SU-'n{:r-A:v-%tA:-ln=
aksjonane	Ak-'Su:-nA-n@
aksjonen	Ak-'Su:-nn=
aksjonene	Ak-'Su:-nn=-@
aksjonering	Ak-SU-'ne:-rIN
aksjonsartens	Ak-'Su:ns-%A-t`n`=s
aksjonsform	Ak-'Su:ns-%fOrm
aksjonsgruppe	Ak-'Su:ns-%gru0-p@
aksjonsgrupper	Ak-'Su:ns-%gru0-p@r
aksjonskomiteen	Ak-'Su:ns-kU-mI-%te:-@n
aksjonspengene	Ak-'Su:ns-%pEN-@-n@
aksjonstidas	Ak-'Su:ns-%ti:-dAs
aksjonstider	Ak-'Su:ns-%ti:-d@r
aksjonstiders	Ak-'Su:ns-%ti:-d@s`
aksjonsutvalgas	Ak-'Su:ns-}:-%tvAl-gAs
aksjonsutvalgs	Ak-'Su:ns-}:-%tvAlgs
akslebeina	"Ak-sl@-%b{*I-nA
akslebeinene	"Ak-sl@-%b{*I-nn=-@
akslebeinet	"Ak-sl@-%b{*I-n@
akslebenene	"Ak-sl@-%be:-nn=-@
akslebred	"Ak-sl@-%bre:
akslebreiere	"Ak-sl@-%br{*I-@-r@
akslebreiestes	"Ak-sl@-%br{*I-@-st@s
akslebreiests	"Ak-sl@-%br{*I-@sts
akslede	"Ak-sl@-d@
aktelsens	"Ak-tl=-sn=s
åkte	"o:k-t@
akterdekk	"Ak-t@r-%dEk
akterdekkas	"Ak-t@r-%dE-kAs
akterdekkenes	"Ak-t@r-%dE-k@-n@s
akterdekket	"Ak-t@r-%dE-k@
akterdelen	"Ak-t@-%d`e:-ln=
akterende	"Ak-t@-%rE-n@
akterender	"Ak-t@-%rE-n@r
akterkantenes	"Ak-t@r-%kAn-tn=-@s
akterkanter	"Ak-t@r-%kAn-t@r
akterkanters	"Ak-t@r-%kAn-t@s`
akterlanternenes	"Ak-t@r-lAn-%t{:-n`n`=-@s
akters	"Ak-t@s`
akterskottenes	"Ak-t@r-%skO-tn=-@s
akterskottet	"Ak-t@r-%skO-t@
akterskutene	"Ak-t@r-%sk}:-tn=-@
akterskutens	"Ak-t@r-%sk}:-tn=s
akterspeila	"Ak-t@r-%sp{*I-lA
akterstavnen	"Ak-t@r-%stAv-nn=
akterstavnenes	"Ak-t@r-%stAv-nn=-@s
akterutsegl	'Ak-t@-r}:t-%s{*Il
akterutseglet	'Ak-t@-r}:t-%s{*I-l@t
aktes	"A:k-t@s
aktete	"Ak-t@-t@
aktivas	'Ak-tI-vAs
aktivasidas	'Ak-tI-vA-%si:-dAs
aktivatorene	Ak-tI-'vA:-tU-n`=-@
aktivators	Ak-tI-'vA:-tUs`
aktiver	'Ak-tI-v@r
aktiveringa	Ak-tI-'ve:-rIN-A
aktiveringsenergiers	Ak-tI-'ve:-rINs-@-n@-%s`i:-@s`
aktivet	'Ak-tI-v@
aktiviser	Ak-tI-vI-'se:r
aktivisere	Ak-tI-vI-'se:-r@
aktiviseres	Ak-tI-vI-'se:-r@s
aktivisme	Ak-tI-'vI-sm@
aktivistisk	Ak-tI-'vI-stIsk
aktivistiske	Ak-tI-'vI-stI-sk@
aktivists	Ak-tI-'vIsts
aktiviteten	Ak-tI-vI-'te:-tn=
aktivitetsboken	Ak-tI-vI-'te:ts-%bu:-k@n
aktivitetsleierer	Ak-tI-vI-'te:ts-%l{*I-@-r@r
aktivitetsleierers	Ak-tI-vI-'te:ts-%l{*I-@-r@s`
aktivitetsmuligheter	Ak-tI-vI-'te:ts-m}:-lI-%he:-t@r
aktivitetsnivåas	Ak-tI-vI-'te:ts-nI-%vo:-As
aktivitetsrommet	Ak-tI-vI-'te:ts-%rU-m@
aktivitetsrommets	Ak-tI-vI-'te:ts-%rU-m@ts
aktivitetstilbudene	Ak-tI-vI-'te:ts-tIl-%b}:-dn=-@
aktivitetsvekst	Ak-tI-vI-'te:ts-%vEkst
aktivts	'Ak-tIvts
aktivum	'Ak-tI-vu0m
aktivumets	'Ak-tI-vu0-m@ts
aktmalingas	'Akt-%mA:-lIN-As
aktmodellers	'Akt-mU-%dE-l@s`
aktorat	Ak-tU-'rA:t
aktoratet	Ak-tU-'rA:-t@
aktorene	'Ak-tU-n`=-@
aktorer	'Ak-tU-r@r
aktorers	'Ak-tU-r@s`
aktpågivende	'Akt-po:-%ji:-v@-n@
aktrisens	Ak-"tri:-sn=s
aktrisers	Ak-"tri:-s@s`
aktsommes	"Akt-%sO-m@s
aktsomstes	"Akt-%sOm-st@s
akttegningens	'Akt-%t{*I-nIN-@ns
akttegnings	'Akt-%t{*I-nINs
aktualitetsprogrammer	Ak-tu0-A-lI-'te:ts-prU-%grA-m@r
aktuareksamens	Ak-tu0-'A:r-@k-%sA:-m@ns
aktuarembetseksamener	Ak-tu0-'A:r-@m-b@ts-@k-%sA:-m@-n@r
aktuarens	Ak-tu0-'A:-n`=s
aktuarer	Ak-tu0-'A:-r@r
aktverdigs	"Ak-%tv{-d`Is
aktverdigst	"Ak-%tv{-d`Igst
aktverdigstes	"Ak-%tv{-d`Ig-st@s
akupunktør	A-ku0-pu0Nk-'t2:r
akupunkturen	A-ku0-pu0N-'t}:-n`=
Akureyri	A-ku0-'r{*I-rI
akustikerers	A-'ku0-stI-k@-r@s`
akustikkens	A-ku0-'stI-k@ns
akuttavdeling	A-'ku0t-Av-%de:-lIN
akuttavdelingas	A-'ku0t-Av-%de:-lIN-As
akuttavdelingens	A-'ku0t-Av-%de:-lIN-@ns
akuttegnenes	A-'ku0t-%t{*I-nn=-@s
akutten	A-'ku0-tn=
akuttenes	A-'ku0-tn=-@s
akuttfasen	A-'ku0t-%fA:-sn=
akuttmedisinske	A-'ku0t-m@-dI-%si:n-sk@
akuttmottaket	A-'ku0t-mu:-%tA:-k@
akutt-tegns	A-'ku0t-%t{*Ins
akvakulturen	'A-kvA-ku0l-%t}:-n`=
akvakulturens	'A-kvA-ku0l-%t}:-n`=s
akvamarinens	'A-kvA-mA-%ri:-nn=s
akvanauters	A-kvA-'nE*u0-t@s`
akvarellenes	A-kvA-'rE-ln=-@s
akvarellfarge	A-kvA-'rEl-%fAr-g@
akvarellfargene	A-kvA-'rEl-%fAr-g@-n@
akvarellfarger	A-kvA-'rEl-%fAr-g@r
akvarellfarges	A-kvA-'rEl-%fAr-g@s
akvarellmalernes	A-kvA-'rEl-%mA:-l@r-n`@s
akvarellmalers	A-kvA-'rEl-%mA:-l@s`
akvariebygninger	A-'kvA:-rI-@-%bY-gnIN-@r
akvariebygningers	A-'kvA:-rI-@-%bY-gnIN-@s`
akvariefiskenes	A-'kvA:-rI-@-%fI-sk@-n@s
akvariene	A-'kvA:-rI-@-n@
akvarium	A-'kvA:-rI-u0m
akvatisk	A-'kvA:-tIsk
akvedukters	A-kv@-'du0k-t@s`
ala	"A:-lA
alabasthvite	A-lA-'bAst-%vi:-t@
alabasthvites	A-lA-'bAst-%vi:-t@s
alabasthvitts	A-lA-'bAst-%vIts
alabastkrukkes	A-lA-'bAst-%krU-k@s
alabastkvitt	A-lA-'bAst-%kvIt
A-lag	'A:-%lA:g
A-lagas	'A:-%lA:-gAs
Åland	'o:-%lAn
a-landskamper	'A:-lAns-%kAm-p@r
ålandsks	'o:-lAnsks
alantens	A-'lAn-tn=s
alantrotenes	A-'lAn-%tru:-tn=-@s
alantroter	A-'lAn-%tru:-t@r
alantrots	A-'lAn-%tru:ts
alarmapparata	A-'lArm-A-pA-%rA:-tA
alarmapparatene	A-'lArm-A-pA-%rA:-tn=-@
alarmapparats	A-'lArm-A-pA-%rA:ts
alarmberedskap	A-'lArm-b@%-re:d-skA:p
alarmering	A-lAr-'me:-rIN
alarmers	A-'lAr-m@s`
alarmklokka	A-'lArm-%klO-kA
alarmknappen	A-'lArm-%knA-p@n
alarmsignaler	A-'lArm-sIN-%nA:-l@r
alarmsignalets	A-'lArm-sIN-%nA:-l@ts
alarmsystemers	A-'lArm-sY-%ste:-m@s`
alarmsystems	A-'lArm-sY-%ste:ms
alarmtilstandenes	A-'lArm-tIl-%stA-nn=-@s
alaskabjørnen	A-'lA-skA-%bj2:-n`n`=
alaskabjørners	A-'lA-skA-%bj2:-n`@s`
alaskasnipenes	A-'lA-skA-%sni:-p@-n@s
alaskeren	A-'lA-sk@-n`=
alaskisk	A-'lA-skIsk
alaskisks	A-'lA-skIsks
albaneren	Al-'bA:-n@-n`=
Alberth	'Al-b@t`
albinoen	Al-'bi:-nU-@n
albins	'Al-bIns
albint	'Al-bInt
albints	'Al-bInts
alboga	"Al-%bo:-gA
albogeledds	"Al-bo:-g@-%lEds
albogene	"Al-%bo:-g@-n@
albogens	"Al-%bo:-g@ns
albogeskjell	"Al-bo:-g@-%SEl
albogeskjellene	"Al-bo:-g@-%SE-ln=-@
albogeskjellenes	"Al-bo:-g@-%SE-ln=-@s
albogeskjellet	"Al-bo:-g@-%SE-l@
albogesnilene	"Al-bo:-g@-%sni:-ln=-@
albogesnilers	"Al-bo:-g@-%sni:-l@s`
albogestøyters	"Al-bo:-g@-%st9*Y-t@s`
albogete	"Al-%bo:-g@-t@
alboging	"Al-%bo:-gIN
Albrektsen	'Al-br@kt-sn=
Albrikt	'Al-brIkt
Albstadt	'Alp-%StAt
albuen	"Al-%b}:-@n
albuenes	"Al-%b}:-@-n@s
albuers	"Al-%b}:-@s`
albueskjellen	"Al-b}:-@-%SEln
albuestøytenes	"Al-b}:-@-%st9*Y-tn=-@s
albumas	'Al-bu0-mAs
albumene	'Al-bu0-m@-n@
albumenes	'Al-bu0-m@-n@s
albuminer	Al-bu0-'mi:-n@r
alburomene	"Al-bu0-%rU-m@-n@
alburommet	"Al-bu0-%rU-m@
alburoms	"Al-bu0-%rUms
albuskjellens	"Al-b}:-%SElns
albuskjells	"Al-b}:-%SEls
albusnegler	"Al-b}:-%sn{*I-l@r
albustøtets	"Al-b}:-%st2:-t@ts
albustøts	"Al-b}:-%st2:ts
albustøttas	"Al-b}:-%st9-tAs
albustøttenes	"Al-b}:-%st9-tn=-@s
albustøytens	"Al-b}:-%st9*Y-tn=s
Alcatels	Al-kA-'tEls
aldehyda	Al-d@-'hy:-dA
aldehydenes	Al-d@-'hy:-dn=-@s
alderdomens	'Al-d@-%d`O-m@ns
alderdommelig	Al-d@-'d`O-m@-lI
alderdommelige	Al-d@-'d`O-m@-lI-@
alderdommer	'Al-d@-%d`O-m@r
alderdomssjukdom	'Al-d@-d`Oms-S}:k-%dOm
alderdomssjukdommene	'Al-d@-d`Oms-S}:k-%dO-m@-n@
alderdomssjukdoms	'Al-d@-d`Oms-S}:k-%dOms
alderdomssløvs	'Al-d@-d`Oms-%Sl2:vs
alderdomssløvsinnenes	'Al-d@-d`Oms-%Sl2:v-sI-nn=-@s
alderdomssløvts	'Al-d@-d`Oms-%Sl2:vts
alderdomssykdom	'Al-d@-d`Oms-sy:k-%dOm
alderdomssykdommenes	'Al-d@-d`Oms-sy:k-%dO-m@-n@s
alderdomstegnets	'Al-d@-d`Oms-%t{*I-n@ts
alderdomstegns	'Al-d@-d`Oms-%t{*Ins
alderens	'Al-d@n`S
aldersattest	'Al-d@s`-A-%tEst
aldersattesters	'Al-d@s`-A-%tE-st@s`
aldersbestemme	'Al-d@s`-b@-%stE-m@
aldersbestemmende	'Al-d@s`-b@-%stE-m@-n@
aldersbestemmer	'Al-d@s`-b@-%stE-m@r
aldersbestemts	'Al-d@s`-b@-%stEmts
aldersboligene	'Al-d@s`-%bu:-lI-@-n@
aldersboligenes	'Al-d@s`-%bu:-lI-@-n@s
aldersboligens	'Al-d@s`-%bu:-lI-@ns
aldersboligers	'Al-d@s`-%bu:-lI-@s`
aldersforskjeller	'Al-d@s`-fO-%s`E-l@r
aldersheimens	'Al-d@s`-%h{*I-m@ns
aldersheimer	'Al-d@s`-%h{*I-m@r
aldershjemmets	'Al-d@s`-%jE-m@ts
Alderspensjonatet	'Al-d@S-pAN-SU-%nA:-t@
alderspensjonistene	'Al-d@s`-pAN-s`U-%nI-stn=-@
alderstrygdas	'Al-d@s`-%t`rYg-dAs
aldre	"Al-dr@
aldrendes	"Al-dr@-n@s
Aldrich	'Al-drIC
Aldrik	'Al-drIk
aldringsbestandigs	"Al-drINs-b@-%stAn-dIs
aldringsprosessen	"Al-drINs-prU-%sE-sn=
Aldwych	'o:ld-vYk
ålefamiliens	"o:-l@-fA-%mi:-lI-@ns
ålefaringens	"o:l-@r-%fA:-rIN-@ns
ålefarings	"o:l-@r-%fA:-rINs
Ålefjærveien	"o:-l@-fj{:r-%v{*I-@n
ålegjerdene	"o:-l@-%j{:-n`=-@
ålegjerdes	"o:-l@-%j{:-r@s
ålegjerdet	"o:-l@-%j{:-r@
åleglatt	"o:-l@-%glAt
aleine	A-"l{*I-n@
Alejandro	A-l@-'jAn-drU
ålejerna	"o:-l@-%j{:-n`A
ålejernet	"o:-l@-%j{:-n`@
ålekista	"o:-l@-%CI-stA
ålekonene	"o:-l@-%ku:-nn=-@
Aleksa	A-'lEk-sA
Aleksandar	A-l@k-'sAn-dAr
aleksandrineres	A-l@k-sAn-'dri:-n@-r@s
alemannisk	A-l@-'mA-nIsk
alemanniskes	A-l@-'mA-nI-sk@s
ålendingen	'o:-l@-nIN-@n
aleneforelder	A-"le:-n@-fO-%rEl-d@r
aleneforelders	A-"le:-n@-fO-%rEl-d@s`
åle	"o:-l@
ålepadders	"o:-l@-%pA-d@s`
ålerusa	"o:-l@-%r}:-sA
åletrange	"o:-l@-%trAN-@
åletrangt	"o:-l@-%trANt
aleutene	A-l@-'}:-tn=-@
aleutiskes	A-l@'-}:-tI-sk@s
Alexander	A-l@k-'sAn-d@r
åleyngelene	"o:-l@-%YN-@-ln=-@
åleyngels	"o:-l@-%YN-@ls
alfabetisere	Al-fA-b@-tI-'se:-r@
alfabetiserens	Al-fA-b@-tI-'se:-n`=s
alfabetiserer	Al-fA-b@-tI-'se:-r@r
alfabetiseringen	Al-fA-b@-tI-'se:-rIN-@n
alfabetismen	Al-fA-b@-'tI-sm@n
alfabets	Al-fA-'be:ts
alfaen	'Al-fA-@n
alfagress	'Al-fA-%grEs
Alfarnes	"Al-fA-%n`e:s
alfastrålen	'Al-fA-%stro:-ln=
Alfheimveien	"Alf-h{*Im-%v{*I-@n
Alfild	"Al-%fIl
Alfio	'Al-fI-U
alfonsen	Al-'fOn-sn=
Alfred	'Al-fr@d
Alfredsen	'Al-fr@d-sn=
Alfrida	Al-'fri:-dA
Alfta	"Alf-tA
alfuruens	"A:l-%f}:-ru0-@ns
algebraens	'Al-g@-brA-@ns
algebraiske	Al-g@-'brA:-I-sk@
algemiddelet	"Al-g@-%mI-dl=-@
algemiddels	"Al-g@-%mI-dl=s
algemidlene	"Al-g@-%mId-ln=-@
algemidlers	"Al-g@-%mId-l@s`
algerier	Al-'Se:-rI-@r
algerieres	Al-'Se:-rI-@-r@s
algeriers	Al-'s`e:-rI-@s`
algeriskes	Al-'Se:-rI-sk@s
algesopp	"Al-g@-%sOp
algesoppenes	"Al-g@-%sO-p@-n@s
algevekstene	"Al-g@-%vEk-stn=-@
Algot	'Al-gOt
Ålhus	"o:l-%h}:s
alibia	A-lI-'bi:-A
alibiets	A-lI-'bi:-@ts
Alicja	A-'lIts-jA
Alida	A-'li:-dA
aliener	A-lI-@-'ne:r
alieneres	A-lI-@-'ne:-r@s
Alina	A-'li:-nA
alindustri	'A:l-In-du0-%stri:
alindustrier	'A:l-In-du0-%stri:-@r
alindustriers	'A:l-In-du0-%stri:-@s`
alkalia	Al-'kA:-lI-A
alkaliet	Al-'kA:-lI-@
alkalimetallene	Al-'kA:-lI-m@-%tA-ln=-@
alkalimetrene	Al-kA-lI-'me:-tr@-n@
alkaloida	Al-kA-lU-'i:-dA
alkaloidene	Al-kA-lU-'i:-dn=-@
alkaloidet	Al-kA-lU-'i:-d@
alkaloidets	Al-kA-lU-'i:-d@ts
alkanene	Al-'kA:-nn=-@
alkekonger	"Al-k@-%kON-@r
alker	"Al-k@r
alkoholbruk	Al-kU-'hu:l-%br}:k
alkoholdrikkenes	Al-kU-'hu:l-%drI-k@-n@s
alkoholdrikkens	Al-kU-'hu:l-%drI-k@ns
alkoholdrikks	Al-kU-'hu:l-%drIks
alkoholen	Al-kU-'hu:-ln=
alkoholene	Al-kU-'hu:-ln=-@
alkoholens	Al-kU-'hu:-ln=s
alkoholforbruk	Al-kU-'hu:l-fOr-%br}:k
alkoholforbruket	Al-kU-'hu:l-fOr-%br}:-k@
alkoholforbud	Al-kU-'hu:l-fOr-%b}:d
alkoholforbuds	Al-kU-'hu:l-fOr-%b}:ds
alkoholfrie	Al-kU-'hu:l-%fri:-@
alkoholfriere	Al-kU-'hu:l-%fri:-@-r@
alkoholfrieres	Al-kU-'hu:l-%fri:-@-r@s
alkoholfritts	Al-kU-'hu:l-%frIts
alkoholinnholdet	Al-kU-'hu:l-In-%hO-l@
alkoholisere	Al-kU-hU-lI-'se:-r@
alkoholiserende	Al-kU-hU-lI-'se:-n`=-@
alkoholiserer	Al-kU-hU-lI-'se:-r@r
alkoholiske	Al-kU-'hu:-lI-sk@
alkoholistene	Al-kU-hU-'lI-stn=-@
alkoholistheimer	Al-kU-hU-'lIst-%h{*I-m@r
alkoholkonsentrasjons	Al-kU-'hu:l-kOn-s@n-trA-%Su:ns
alkohollovgiinga	Al-kU-'hu:l-lo:v-%ji:-IN-A
alkohollovgiingene	Al-kU-'hu:l-lo:v-%ji:-IN-@-n@
alkohollovgiingenes	Al-kU-'hu:l-lo:v-%ji:-IN-@-n@s
alkohollovgivninger	Al-kU-'hu:l-lo:v-%ji:v-nIN-@r
alkoholnytelser	Al-kU-'hu:l-%ny:-tl=-s@r
alkoholpåvirket	Al-kU-'hu:l-po:-%vIr-k@t
alkoholpåvirkete	Al-kU-'hu:l-po:-%vIr-k@-t@
alkoholpåvirketes	Al-kU-'hu:l-po:-%vIr-k@-t@s
